artist,song,section,url,chord_progression
U2,Beautiful Day,Intro,http://www.hooktheory.com/theorytab/view/u2/beautiful-day#intro,"1,4,1,5"
Jan And Dean,Dead Man's Curve,Verse,http://www.hooktheory.com/theorytab/view/jan-and-dean/dead-mans-curve#verse,"1,4,1,5"
Pearl Jam,Elderly Woman Behind the Counter in a Small Town,Verse,http://www.hooktheory.com/theorytab/view/pearl-jam/elderly-woman-behind-the-counter-in-a-small-town#verse,"1,4,1,5"
U2,Desire,Intro and Verse,http://www.hooktheory.com/theorytab/view/u2/desire#intro-and-verse,"1,4,1,5"
U2,Grace,Intro and Verse,http://www.hooktheory.com/theorytab/view/u2/grace#intro-and-verse,"1,4,1,5"
Johnny Cash,You Are My Sunshine,Intro,http://www.hooktheory.com/theorytab/view/johnny-cash/you-are-my-sunshine#intro,"1,4,1,5"
Robert Palmer,Bad Case of Loving You,Chorus,http://www.hooktheory.com/theorytab/view/robert-palmer/bad-case-of-loving-you#chorus,"1,4,1,5"
Mungo Jerry,In the Summertime,Verse,http://www.hooktheory.com/theorytab/view/mungo-jerry/in-the-summertime#verse,"1,4,1,5"
Chuck Berry,Johnny B Goode,Verse,http://www.hooktheory.com/theorytab/view/chuck-berry/johnny-b-goode#verse,"1,4,1,5"
Black Eyed Peas,Just Can't Get Enough,Chorus,http://www.hooktheory.com/theorytab/view/black-eyed-peas/just-cant-get-enough#chorus,"1,4,1,2"
The Legend of Zelda,Lost Woods,Instrumental,http://www.hooktheory.com/theorytab/view/the-legend-of-zelda/lost-woods#instrumental,"1,4,1,2"
The Eagles,Take It Easy,Chorus,http://www.hooktheory.com/theorytab/view/the-eagles/take-it-easy#chorus,"1,4,1,2"
Procul Harum,Shine on Brightly,Verse,http://www.hooktheory.com/theorytab/view/procul-harum/shine-on-brightly#verse,"1,4,1,2"
Mord Fustang,The Electric Dream,Chorus,http://www.hooktheory.com/theorytab/view/mord-fustang/the-electric-dream#chorus,"1,4,1,2"
Eisley,Just Like We Do,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/eisley/just-like-we-do#verse-and-pre-chorus,"1,4,1,2"
Lady Gaga,You And I,Verse,http://www.hooktheory.com/theorytab/view/lady-gaga/you-and-i#verse,"1,4,1,2"
Queen,Seven Seas of Rhye,Intro,http://www.hooktheory.com/theorytab/view/queen/seven-seas-of-rhye#intro,"1,4,1,2"
Elliott Smith,A Fond Farewell,Verse,http://www.hooktheory.com/theorytab/view/elliott-smith/a-fond-farewell#verse,"1,4,1,2"
Girls' Generation,Lion Heart,Chorus,http://www.hooktheory.com/theorytab/view/girls-generation/lion-heart#chorus,"1,4,1,2"
Kino,Bezdelnik,Verse,http://www.hooktheory.com/theorytab/view/kino/bezdelnik#verse,"1,4,1,2"
Elvis Presley,Don't Be Cruel,Verse,http://www.hooktheory.com/theorytab/view/elvis-presley/dont-be-cruel#verse,"1,4,1,2"
Tally Hall,Good Day,Outro,http://www.hooktheory.com/theorytab/view/tally-hall/good-day#outro,"1,4,1,2"
Wilco,ELT,Chorus,http://www.hooktheory.com/theorytab/view/wilco/elt#chorus,"1,4,1,2"
The Beatles,I'm Only Sleeping,Verse,http://www.hooktheory.com/theorytab/view/the-beatles/im-only-sleeping#verse,"1,4,1,2"
Slade,Merry Xmas Everybody,Verse,http://www.hooktheory.com/theorytab/view/slade/merry-xmas-everybody#verse,"1,4,1,2"
Pink Floyd,One Of My Turns,Chorus,http://www.hooktheory.com/theorytab/view/pink-floyd/one-of-my-turns#chorus,"1,4,1,3"
Phil Collins,You Can't Hurry Love,Chorus,http://www.hooktheory.com/theorytab/view/phil-collins/you-cant-hurry-love#chorus,"1,4,1,3"
Royal Republic,Everybody Wants To Be An Astronaut,Chorus,http://www.hooktheory.com/theorytab/view/royal-republic/everybody-wants-to-be-an-astronaut#chorus,"1,4,1,3"
Creedence Clearwater Revival,Hello Mary Lou,Verse,http://www.hooktheory.com/theorytab/view/creedence-clearwater-revival/hello-mary-lou#verse,"1,4,1,3"
Josh Groban,O Holy Night,Verse,http://www.hooktheory.com/theorytab/view/josh-groban/o-holy-night#verse,"1,4,1,3"
Parry Gripp,Soccer Ball -In The Face-,Chorus,http://www.hooktheory.com/theorytab/view/parry-gripp/soccer-ball--in-the-face-#chorus,"1,4,1,3"
Bela Fleck,Big Country,Chorus,http://www.hooktheory.com/theorytab/view/bela-fleck/big-country#chorus,"1,4,1,3"
Brand New,Failure by Design,Pre-Chorus,http://www.hooktheory.com/theorytab/view/brand-new/failure-by-design#pre-chorus,"1,4,1,3"
Sarah Fuller Flower Adams,Nearer My God to Thee,Instrumental,http://www.hooktheory.com/theorytab/view/sarah-fuller-flower-adams/nearer-my-god-to-thee#instrumental,"1,4,1,3"
Kelly Clarkson,My Life Would Suck Without You,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/kelly-clarkson/my-life-would-suck-without-you#pre-chorus-and-chorus,"1,4,1,3"
Legend of Zelda - Ocarina of Time,Lost Woods Theme,Chorus,http://www.hooktheory.com/theorytab/view/legend-of-zelda---ocarina-of-time/lost-woods-theme#chorus,"1,4,1,27"
Steely Dan,Gaucho,Intro,http://www.hooktheory.com/theorytab/view/steely-dan/gaucho#intro,"1,4,1,27"
Jonathan Coulton,Shop Vac,Chorus,http://www.hooktheory.com/theorytab/view/jonathan-coulton/shop-vac#chorus,"1,4,1,27"
Nintendo,Beach Bowl Galaxy,Chorus,http://www.hooktheory.com/theorytab/view/nintendo/beach-bowl-galaxy#chorus,"1,4,1,27"
Jonathan Coulton,Shop Vac,Solo,http://www.hooktheory.com/theorytab/view/jonathan-coulton/shop-vac#solo,"1,4,1,27"
Schoolhouse Rock,Interjections,Verse,http://www.hooktheory.com/theorytab/view/schoolhouse-rock/interjections#verse,"1,4,1,27"
